Device: cuda
* Epoch 1/30
 - loss: 0.683527
 - val_loss: 0.671881
* Epoch 2/30
 - loss: 0.671658
 - val_loss: 0.662138
* Epoch 3/30
 - loss: 0.661749
 - val_loss: 0.642695
* Epoch 4/30
 - loss: 0.641548
 - val_loss: 0.582853
* Epoch 5/30
 - loss: 0.578660
 - val_loss: 0.446804
* Epoch 6/30
 - loss: 0.436410
 - val_loss: 0.425999
* Epoch 7/30
 - loss: 0.414283
 - val_loss: 0.439407
* Epoch 8/30
 - loss: 0.427501
 - val_loss: 0.378702
* Epoch 9/30
 - loss: 0.366873
 - val_loss: 0.389831
* Epoch 10/30
 - loss: 0.378230
 - val_loss: 0.403751
* Epoch 11/30
 - loss: 0.392841
 - val_loss: 0.384829
* Epoch 12/30
 - loss: 0.373811
 - val_loss: 0.366056
* Epoch 13/30
 - loss: 0.354071
 - val_loss: 0.386998
* Epoch 14/30
 - loss: 0.373681
 - val_loss: 0.369142
* Epoch 15/30
 - loss: 0.356078
 - val_loss: 0.352149
* Epoch 16/30
 - loss: 0.340518
 - val_loss: 0.352985
* Epoch 17/30
 - loss: 0.342751
 - val_loss: 0.346611
* Epoch 18/30
 - loss: 0.336822
 - val_loss: 0.336788
* Epoch 19/30
 - loss: 0.325210
 - val_loss: 0.342639
* Epoch 20/30
 - loss: 0.327726
 - val_loss: 0.333292
* Epoch 21/30
 - loss: 0.319281
 - val_loss: 0.321193
* Epoch 22/30
 - loss: 0.310618
 - val_loss: 0.318322
* Epoch 23/30
 - loss: 0.309621
 - val_loss: 0.313609
* Epoch 24/30
 - loss: 0.304641
 - val_loss: 0.311416
* Epoch 25/30
 - loss: 0.300188
 - val_loss: 0.314513
* Epoch 26/30
 - loss: 0.301090
 - val_loss: 0.308156
* Epoch 27/30
 - loss: 0.296191
 - val_loss: 0.302656
* Epoch 28/30
 - loss: 0.293116
 - val_loss: 0.301111
* Epoch 29/30
 - loss: 0.292523
 - val_loss: 0.298109
* Epoch 30/30
 - loss: 0.288680
 - val_loss: 0.297298
* Epoch 1/30
 - loss: 0.670474
 - val_loss: 0.613376
* Epoch 2/30
 - loss: 0.608864
 - val_loss: 0.545960
* Epoch 3/30
 - loss: 0.537663
 - val_loss: 0.452392
* Epoch 4/30
 - loss: 0.440725
 - val_loss: 0.367702
* Epoch 5/30
 - loss: 0.359142
 - val_loss: 0.473959
* Epoch 6/30
 - loss: 0.474622
 - val_loss: 0.396414
* Epoch 7/30
 - loss: 0.394106
 - val_loss: 0.350948
* Epoch 8/30
 - loss: 0.344633
 - val_loss: 0.346953
* Epoch 9/30
 - loss: 0.338187
 - val_loss: 0.349781
* Epoch 10/30
 - loss: 0.340165
 - val_loss: 0.347256
* Epoch 11/30
 - loss: 0.337494
 - val_loss: 0.338478
* Epoch 12/30
 - loss: 0.328940
 - val_loss: 0.325671
* Epoch 13/30
 - loss: 0.316625
 - val_loss: 0.312983
* Epoch 14/30
 - loss: 0.304609
 - val_loss: 0.306211
* Epoch 15/30
 - loss: 0.298312
 - val_loss: 0.304739
* Epoch 16/30
 - loss: 0.296568
 - val_loss: 0.299185
* Epoch 17/30
 - loss: 0.290377
 - val_loss: 0.291290
* Epoch 18/30
 - loss: 0.282169
 - val_loss: 0.285291
* Epoch 19/30
 - loss: 0.276101
 - val_loss: 0.281661
* Epoch 20/30
 - loss: 0.272443
 - val_loss: 0.279333
* Epoch 21/30
 - loss: 0.270085
 - val_loss: 0.277454
* Epoch 22/30
 - loss: 0.268123
 - val_loss: 0.275795
* Epoch 23/30
 - loss: 0.266261
 - val_loss: 0.274611
* Epoch 24/30
 - loss: 0.264749
 - val_loss: 0.274414
* Epoch 25/30
 - loss: 0.264058
 - val_loss: 0.274821
* Epoch 26/30
 - loss: 0.264002
 - val_loss: 0.274770
* Epoch 27/30
 - loss: 0.263772
 - val_loss: 0.274143
* Epoch 28/30
 - loss: 0.263238
 - val_loss: 0.273392
* Epoch 29/30
 - loss: 0.262704
 - val_loss: 0.272740
* Epoch 30/30
 - loss: 0.262281
 - val_loss: 0.272132

------------------------------------------------------------
Sender: LSF System <lsfadmin@hpc.dtu.dk>
Subject: Job 22896927: <Segmentation> in cluster <dcc> Done

Job <Segmentation> was submitted from host <hpclogin1> by user <s204209> in cluster <dcc> at Wed Oct 23 14:55:04 2024
Job was executed on host(s) <4*n-62-18-8>, in queue <c02516>, as user <s204209> in cluster <dcc> at Wed Oct 23 14:55:04 2024
</zhome/e7/1/156531> was used as the home directory.
</zhome/e7/1/156531/02516/Segmentation_project/02516/Segmentation> was used as the working directory.
Started at Wed Oct 23 14:55:04 2024
Terminated at Wed Oct 23 14:57:04 2024
Results reported at Wed Oct 23 14:57:04 2024

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
#BSUB -J Segmentation
#BSUB -q c02516
#BSUB -gpu "num=1:mode=exclusive_process"
#BSUB -W 15
#BSUB -R "rusage[mem=4GB]"
#BSUB -o Segmentation.out
#BSUB -e Segmentation.err
#BSUB -R "span[hosts=1]"
#BSUB -n 4

# Initialize Python environment
source ../../../../02516_env/bin/activate

# Run Python script
python -m module.main
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   116.26 sec.
    Max Memory :                                 891 MB
    Average Memory :                             843.67 MB
    Total Requested Memory :                     16384.00 MB
    Delta Memory :                               15493.00 MB
    Max Swap :                                   -
    Max Processes :                              4
    Max Threads :                                8
    Run time :                                   143 sec.
    Turnaround time :                            120 sec.

The output (if any) is above this job summary.



PS:

Read file <Segmentation.err> for stderr output of this job.

